年份（年）,基金当期收支（亿元）,基金累计结余（亿元）,参保职工数预测（万人）,参保离退休人员数预测（万人）,待遇调整幅度,社会平均工资（元）,无财政补贴基金当期收支（亿元）,无财政补贴基金累计结余（亿元）,基金收入（亿元）,基金支出（亿元）
2042,-28901.911104498817,85168.40347128811,36193.37149678881,21616.489431419497,0.0322,181526.83821235437,-59864.62187961476,-162068.34079555853,1222689709.1518486,1821335927.9479961
2043,-33763.467899806,69060.42739771414,36301.7085852133,22130.435357966384,0.03205,187607.98729246826,-66638.33330206458,-193860.35581006692,1267432278.8769174,1933815611.8975632
2044,-39571.66129606674,50779.25540135023,36352.87097807398,22695.773829029673,0.0319,193799.0508731197,-74530.61245420328,-228291.73676917414,1311102767.1130574,2056408891.65509
2045,-46818.63354802091,29835.0297312729,36311.46730733049,23346.403237686096,0.03175,200097.5200264961,-84103.077512188,-265915.08673637395,1352171811.0055957,2193202586.1274757
2046,-55157.43200742259,5941.768258784465,36207.10278438556,24039.61787276217,0.0316,206500.64066734398,-94953.91841283643,-307047.509293137,1391430604.425391,2340969788.5537553
2047,-64148.92171995897,-20966.551578489198,36026.24857897989,24715.306525223223,0.03145,213005.41084836534,-106537.9254315301,-351736.593621413,1428091552.2477055,2493470806.5630064
2048,-73830.59383802128,-50955.373478297115,35804.65344910066,25389.777273530923,0.0313,219608.57858466465,-118923.85008630971,-400041.58447252517,1463305984.3303394,2652544485.1934366
2049,-83471.48506357044,-83786.59236766474,35601.45725513997,26009.58166922965,0.03115,226306.64023149692,-131278.22809554302,-451676.2743157772,1499379073.8664873,2812161354.8219175
2050,-92569.66676854758,-119043.432771367,35454.23820446713,26544.271357825648,0.031,233095.83943844182,-143030.39560710368,-506152.00061828824,1537974210.9028497,2968278166.9738865
2051,-101899.72550816271,-156624.88225806036,35094.6945970902,26961.57999464732,0.031,240088.71462159508,-154887.41672612808,-563275.7425988407,1568048845.5602105,3116923012.8214912
2052,-110589.48641885273,-196119.70568429946,34801.98431409182,27303.300420549043,0.031,247291.37606024294,-166044.60016689135,-622575.2508688591,1601619512.9215944,3262065514.590508
2053,-118911.79272246618,-237241.97612788915,34554.12246887611,27592.530911122103,0.031,254710.11734205025,-176814.95997076298,-683721.689215478,1637919061.9568853,3406068661.664515
2054,-127343.90676977517,-279885.8009562605,34318.292798280214,27862.589143123234,0.031,262351.4208623118,-187744.7357076692,-746592.0206278873,1675542580.4464839,3552989937.5231757
2055,-136229.06572083983,-324060.4982752556,34074.52119157568,28135.43905726557,0.031,270221.9634881811,-199228.21163740903,-811195.3114154929,1713549996.365273,3705832112.739363
2056,-144923.531856596,-369566.485096029,33845.078867763375,28362.326312256657,0.031,278328.62239282654,-210512.96054618966,-877296.3778571805,1753072082.161257,3858201687.6231537
2057,-154015.44273752152,-416396.0064482918,33618.32349271384,28591.778875467928,0.031,286678.48106461135,-222296.4768350229,-944887.2468210133,1793566649.1498523,4016531417.5000815
2058,-163577.0186716457,-464557.9009176793,33392.87081281668,28827.643752307988,0.031,295278.83549654967,-234664.76957223902,-1013979.469919345,1834984710.1948624,4181632405.9172525
2059,-173657.59612611713,-514068.8077825435,33167.65264867223,29071.562500754793,0.031,304137.2005614462,-247676.47438616763,-1084593.639005538,1877286918.494235,4354051662.355911
2060,-184334.13907626196,-564959.5393597472,32939.898234753906,29326.222991272993,0.031,313261.3165782896,-261421.34172314295,-1156766.5061524145,1920327914.9380403,4534541332.16947
2061,-194973.28038851367,-617083.0718481237,32716.506260150276,29544.426400812343,0.031,322659.1560756383,-275144.8004487899,-1230322.836110154,1964523763.7636414,4715971768.25154
